step,segment,sim_time_sec,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w,cmd_v_nom,cmd_w_nom,dv_pert,dw_pert
0,straight_1,2.600000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,straight_1,2.652000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,straight_1,2.700000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,straight_1,2.750000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,straight_1,2.800000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,straight_1,2.854000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,straight_1,2.900000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,straight_1,2.951000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,straight_1,3.000000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,straight_1,3.050000,0.000000,0.000000,0.000000,0.250000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
