step,mode,sim_time_sec,ref_idx,segment,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w
0,baseline,4049.6000000000004,0,straight_1,0.0,0.0,0.0,0.25,0.0,5.431551002864792e-18,4.27545690948494e-14,6.385323662724994e-19,0.0,0.0,-5.431551002864819e-18,-4.27545690948494e-14,0.0,0.25,-7.695822437072893e-14
1,baseline,4049.65,0,straight_1,0.0,0.0,0.0,0.25,0.0,0.0006940681536093967,3.9817584300061207e-14,1.841650846240626e-10,0.03357886427030832,-9.677115262116609e-12,-0.0006940681536093967,8.800553594428021e-14,-1.8416512759245052e-10,0.24944474547711248,-3.6817184522020135e-10
2,baseline,4049.7000000000003,0,straight_1,0.0,0.0,0.0,0.25,0.0,0.003052346792163197,3.2806566874719237e-13,3.5769400253676867e-10,0.07477552800371712,1.834177788569746e-08,-0.003052346792163197,7.637404724719279e-13,-3.576938745197822e-10,0.24755812256626944,-7.140130161891149e-10
3,baseline,4049.7500000000005,1,straight_1,0.0125,0.0,0.0,0.25,0.0,0.009777992235437499,2.3435697026463347e-12,4.964818242902112e-10,0.1379334651447203,1.835836163603879e-08,0.002722007764562502,-3.694997083328445e-12,-4.964819666497533e-10,0.25217760621165,-9.996149280494978e-10
4,baseline,4049.8,1,straight_1,0.0125,0.0,0.0,0.25,0.0,0.016355882884667612,5.222423409977553e-12,4.483569217171163e-10,0.1799999072562229,-1.7425661880858172e-10,-0.0038558828846676114,-3.4936116293062686e-12,-4.483569071567217e-10,0.24691529369226592,-9.030023152461948e-10
5,baseline,4049.8500000000004,2,straight_1,0.025,0.0,0.0,0.25,0.0,0.029376264684708595,1.0667077605206264e-11,5.539193859053029e-10,0.24410517384394553,-1.687056714936881e-10,-0.004376264684708593,-8.242979758493416e-12,-5.539195768733407e-10,0.24649898825223313,-1.1226765173119696e-09
6,baseline,4049.9,3,straight_1,0.037500000000000006,0.0,0.0,0.25,0.0,0.03969798147642561,1.596431208665067e-11,4.991432429867315e-10,0.25947261919626247,0.0,-0.002197981476425602,-1.486720448448283e-11,-4.991433932843847e-10,0.2482416148188595,-1.0250477546408385e-09
7,baseline,4049.9500000000003,4,straight_1,0.05,0.0,0.0,0.25,0.0,0.05532320314694788,2.3447722693148354e-11,4.1278948533256963e-10,0.26130696295596295,0.0,-0.005323203146947876,-2.1250360405799026e-11,-4.1278935825062035e-10,0.2457414374824417,-8.63829365231679e-10
8,baseline,4050.0000000000005,5,straight_1,0.0625,0.0,0.0,0.25,0.0,0.06572021478504167,2.772854367008225e-11,3.6233154899149086e-10,0.2586751973409199,0.0,-0.0032202147850416696,-2.6561758258932803e-11,-3.623314981382464e-10,0.24742382817196668,-7.724741611425718e-10
9,baseline,4050.05,7,straight_1,0.0875,0.0,0.0,0.25,0.0,0.08129562555710843,3.318455576397622e-11,2.965774792667589e-10,0.2604461349108675,0.0,0.006204374442891569,-3.5024633496676106e-11,-2.9657742928179687e-10,0.25496349955431324,-6.561991988576108e-10
10,baseline,4050.1000000000004,7,straight_1,0.0875,0.0,0.0,0.25,0.0,0.09188013676228046,3.6312081243681496e-11,2.580597453044691e-10,0.2683826311034795,0.0,-0.004380136762280468,-3.518174426640866e-11,-2.5805979575466154e-10,0.24649589059017563,-5.794467311888586e-10
11,baseline,4050.15,9,straight_1,0.11249999999999999,0.0,0.0,0.25,0.0,0.10770678410803534,4.0274327411063034e-11,2.0833156139753159e-10,0.25946935852353975,0.0,0.0047932158919646445,-4.127290556195149e-11,-2.0833157421407122e-10,0.25383457271357174,-4.909543784396551e-10
12,deepc,4050.2000000000003,9,straight_1,0.11249999999999999,0.0,0.0,0.25,0.0,0.11824778136304392,4.246646845302421e-11,1.795927951569777e-10,0.2671942870702493,0.0,-0.005747781363043936,-4.1434208332083966e-11,-1.7959278508783427e-10,0.2480183585340231,0.022401868607811546
13,deepc,4050.3430000000003,10,straight_1,0.12499999999999999,0.0,0.0,0.25,0.0,0.1289355528457836,4.438236391262259e-11,1.532364276329628e-10,0.2671942870675348,0.0,-0.003935552845783605,-4.3779293853773974e-11,-1.532365345724429e-10,0.2510226349105131,-0.0028467547521344155
14,deepc,4050.3720000000003,11,straight_1,0.13749999999999998,0.0,0.0,0.25,0.0,0.13962332432844152,4.601437530576626e-11,1.268846095267884e-10,0.26719428706574727,0.0,-0.0021233243284415337,-4.5744958127453224e-11,-1.2688472494915004e-10,0.25126184749572794,0.0013408351247340142
15,deepc,4050.4,12,straight_1,0.15,0.0,0.0,0.25,0.0,0.15565498155233745,4.7934250357356934e-11,8.735245473274584e-11,0.2671942870644706,0.0,-0.005654981552337457,-4.7440273837291864e-11,-8.735234757750732e-11,0.2480914856927289,0.016373277983769887
16,deepc,4050.4500000000003,15,straight_1,0.18750000000000003,0.0,0.0,0.25,0.0,0.18732708821465724,1.5856527192714338e-05,0.001328663535228921,0.261181174248538,0.027523100361015386,0.00017289056473490089,-1.6086254712982414e-05,-0.00132866353522898,0.2530899145417259,-0.008730485799024714
17,deepc,4050.5000000000005,16,straight_1,0.20000000000000004,0.0,0.0,0.25,0.0,0.1977780786339708,3.1033161218338666e-05,0.0024060821987411415,0.26165328886073325,0.02393241651561196,0.002221840266158987,-3.637919167678477e-05,-0.0024060821987412773,0.2427488649836114,-0.005222716188125878
18,deepc,4050.55,17,straight_1,0.21250000000000005,0.0,0.0,0.25,0.0,0.21365726822877815,6.38914133155952e-05,0.0015856522805617187,0.2568086301154092,-0.008405494167009888,-0.0011573680834453869,-6.205630875752189e-05,-0.0015856522805615114,0.24845578710636543,0.000514826183178871
19,deepc,4050.6000000000004,18,straight_1,0.22500000000000006,0.0,0.0,0.25,0.0,0.2238842543888915,8.025463370359028e-05,0.0012391158411669285,0.2561245490772045,-0.00801346071170715,0.0011156453097837561,-8.163710979943589e-05,-0.0012391158411668712,0.24709630081337966,-0.015006868579562375
20,deepc,4050.65,19,straight_1,0.23750000000000007,0.0,0.0,0.25,0.0,0.23957512865465533,0.00010056614412624799,0.00126952263869346,0.2614267003941538,-0.002080915248712457,-0.0020752546533881456,-9.793164098800669e-05,-0.0012695226386933989,0.24738736352240676,0.01103817924758033
21,deepc,4050.7000000000003,20,straight_1,0.25000000000000006,0.0,0.0,0.25,0.0,0.24997942621192454,0.00011188187191848352,0.0002485437625142421,0.2601013641854957,-0.025604208219966222,2.0545979898937397e-05,-0.00011188698194943288,-0.0002485437625141529,0.25124523039551366,-0.0011770847985081673
